frame.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
3.355900000,85,1500,90.130.70.73,80,10.0.0.2,55160,1448,56473,138
3.370275000,86,52,10.0.0.2,55160,90.130.70.73,80,0,138,11585
3.419310000,87,1500,90.130.70.73,80,10.0.0.2,55160,1448,57921,138
3.432833000,88,52,10.0.0.2,55160,90.130.70.73,80,0,138,11585
3.480588000,89,1500,90.130.70.73,80,10.0.0.2,55160,1448,59369,138
3.494700000,90,52,10.0.0.2,55160,90.130.70.73,80,0,138,11585
3.544578000,91,1500,90.130.70.73,80,10.0.0.2,55160,1448,60817,138
3.558203000,92,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.607506000,93,1500,90.130.70.73,80,10.0.0.2,55160,1448,62265,138
3.620132000,94,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.673218000,95,1500,90.130.70.73,80,10.0.0.2,55160,1448,63713,138
3.682883000,96,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.734304000,97,1500,90.130.70.73,80,10.0.0.2,55160,1448,65161,138
3.744884000,98,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.798817000,99,1500,90.130.70.73,80,10.0.0.2,55160,1448,13033,138
3.798894000,100,1500,90.130.70.73,80,10.0.0.2,55160,1448,66609,138
3.808186000,101,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.857406000,102,1500,90.130.70.73,80,10.0.0.2,55160,1448,68057,138
3.870159000,103,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.920336000,104,1500,90.130.70.73,80,10.0.0.2,55160,1448,69505,138
3.932724000,105,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.981366000,106,1500,90.130.70.73,80,10.0.0.2,55160,1448,70953,138
3.993666000,107,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
3.993724000,108,52,10.0.0.2,55160,90.130.70.73,80,0,138,13033
4.045045000,109,1500,90.130.70.73,80,10.0.0.2,55160,1448,72401,138
4.057487000,110,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.113748000,111,1500,90.130.70.73,80,10.0.0.2,55160,1448,73849,138
4.120484000,112,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.169218000,113,1500,90.130.70.73,80,10.0.0.2,55160,1448,75297,138
4.182357000,114,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.230665000,115,1500,90.130.70.73,80,10.0.0.2,55160,1448,76745,138
4.230743000,116,1500,90.130.70.73,80,10.0.0.2,55160,1448,78193,138
4.244950000,117,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.307664000,118,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
2.261560000,119,1500,90.130.70.73,80,10.0.0.2,55160,1448,30409,138
2.261639000,120,1500,90.130.70.73,80,10.0.0.2,55160,1448,79641,138
2.274479000,121,1500,90.130.70.73,80,10.0.0.2,55160,1448,81089,138
2.324512000,122,1500,90.130.70.73,80,10.0.0.2,55160,1448,82537,138
2.385532000,123,1500,90.130.70.73,80,10.0.0.2,55160,1448,83985,138
2.453982000,124,1500,90.130.70.73,80,10.0.0.2,55160,1448,85433,138
3.824557000,126,1500,90.130.70.73,80,10.0.0.2,55160,1448,30409,138
4.433634000,128,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.494307000,129,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.556665000,130,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.626992000,131,52,10.0.0.2,55160,90.130.70.73,80,0,138,30409
4.682207000,132,52,10.0.0.2,55160,90.130.70.73,80,0,138,66609
4.682272000,133,52,10.0.0.2,55160,90.130.70.73,80,0,138,66609
4.744661000,134,52,10.0.0.2,55160,90.130.70.73,80,0,138,66609
4.927521000,135,1500,90.130.70.73,80,10.0.0.2,55160,1448,66609,138
4.927593000,136,1500,90.130.70.73,80,10.0.0.2,55160,1448,68057,138
4.932778000,137,1500,90.130.70.73,80,10.0.0.2,55160,1448,69505,138
4.963942000,138,1500,90.130.70.73,80,10.0.0.2,55160,1448,70953,138
4.993127000,139,1500,90.130.70.73,80,10.0.0.2,55160,1448,72401,138
5.028828000,140,1500,90.130.70.73,80,10.0.0.2,55160,1448,73849,138
5.055949000,141,1500,90.130.70.73,80,10.0.0.2,55160,1448,75297,138
5.057684000,142,52,10.0.0.2,55160,90.130.70.73,80,0,138,81089
