frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
3.187268000,0.002089000,74,1436,148.113.1.33,443,10.0.0.2,56158,1384,39975,676
3.247438000,0.060170000,75,52,10.0.0.2,56158,148.113.1.33,443,0,676,12295
3.265507000,0.018069000,76,1436,148.113.1.33,443,10.0.0.2,56158,1384,41359,676
3.265625000,0.000118000,77,1436,148.113.1.33,443,10.0.0.2,56158,1384,42743,676
3.310431000,0.044806000,78,52,10.0.0.2,56158,148.113.1.33,443,0,676,13679
3.329052000,0.018621000,79,1436,148.113.1.33,443,10.0.0.2,56158,1384,44127,676
3.373019000,0.043967000,80,52,10.0.0.2,56158,148.113.1.33,443,0,676,13679
3.389791000,0.016772000,81,1436,148.113.1.33,443,10.0.0.2,56158,1384,13679,676
3.389853000,0.000062000,82,1436,148.113.1.33,443,10.0.0.2,56158,1384,45511,676
3.434526000,0.044673000,83,52,10.0.0.2,56158,148.113.1.33,443,0,676,13679
3.452546000,0.018020000,84,1436,148.113.1.33,443,10.0.0.2,56158,1384,46895,676
3.496955000,0.044409000,85,52,10.0.0.2,56158,148.113.1.33,443,0,676,13679
3.510708000,0.013753000,86,1436,148.113.1.33,443,10.0.0.2,56158,1384,48279,676
3.560121000,0.049413000,87,52,10.0.0.2,56158,148.113.1.33,443,0,676,13679
3.560210000,0.000089000,88,52,10.0.0.2,56158,148.113.1.33,443,0,676,15063
3.617227000,0.057017000,89,1436,148.113.1.33,443,10.0.0.2,56158,1384,49663,676
3.622130000,0.004903000,90,52,10.0.0.2,56158,148.113.1.33,443,0,676,15063
3.643100000,0.020970000,91,1436,148.113.1.33,443,10.0.0.2,56158,1384,51047,676
3.643185000,0.000085000,92,1436,148.113.1.33,443,10.0.0.2,56158,1384,15063,676
3.643193000,0.000008000,93,1436,148.113.1.33,443,10.0.0.2,56158,1384,52431,676
3.685167000,0.041974000,94,52,10.0.0.2,56158,148.113.1.33,443,0,676,15063
3.686739000,0.001572000,95,1436,148.113.1.33,443,10.0.0.2,56158,1384,53815,676
3.747406000,0.060667000,96,52,10.0.0.2,56158,148.113.1.33,443,0,676,15063
3.766449000,0.019043000,97,1436,148.113.1.33,443,10.0.0.2,56158,1384,55199,676
3.810433000,0.043984000,98,52,10.0.0.2,56158,148.113.1.33,443,0,676,15063
3.827753000,0.017320000,99,1436,148.113.1.33,443,10.0.0.2,56158,1384,56583,676
3.872169000,0.044416000,100,52,10.0.0.2,56158,148.113.1.33,443,0,676,15063
3.889112000,0.016943000,101,1436,148.113.1.33,443,10.0.0.2,56158,1384,57967,676
3.934572000,0.045460000,102,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
3.997432000,0.062860000,103,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
4.013317000,0.015885000,104,1436,148.113.1.33,443,10.0.0.2,56158,1384,59351,676
4.013396000,0.000079000,105,1436,148.113.1.33,443,10.0.0.2,56158,1384,16447,676
4.014735000,0.001339000,106,1436,148.113.1.33,443,10.0.0.2,56158,1384,60735,676
4.059837000,0.045102000,107,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
4.077545000,0.017708000,108,1436,148.113.1.33,443,10.0.0.2,56158,1384,62119,676
4.121807000,0.044262000,109,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
4.139121000,0.017314000,110,1436,148.113.1.33,443,10.0.0.2,56158,1384,63503,676
4.185294000,0.046173000,111,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
4.203042000,0.017748000,112,1436,148.113.1.33,443,10.0.0.2,56158,1384,64887,676
4.247535000,0.044493000,113,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
4.272358000,0.024823000,114,1436,148.113.1.33,443,10.0.0.2,56158,1384,66271,676
4.310451000,0.038093000,115,52,10.0.0.2,56158,148.113.1.33,443,0,676,16447
