frame.time_relative,frame.number,frame.len,ip.src,udp.srcport,ip.dst,udp.dstport,udp.length
0.000000000,1,65,10.0.0.2,47435,10.255.255.254,53,45
0.000062000,2,65,10.0.0.2,47435,10.255.255.254,53,45
0.503559000,3,295,10.255.255.254,53,10.0.0.2,47435,275
0.540194000,4,283,10.255.255.254,53,10.0.0.2,47435,263
