frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
5.524854000,0.044551000,86,52,10.0.0.2,38072,148.113.1.33,443,0,676,12295
5.548631000,0.023777000,87,1436,148.113.1.33,443,10.0.0.2,38072,1384,39975,676
5.548736000,0.000105000,88,1436,148.113.1.33,443,10.0.0.2,38072,1384,41359,676
5.587718000,0.038982000,89,52,10.0.0.2,38072,148.113.1.33,443,0,676,12295
5.607657000,0.019939000,90,1436,148.113.1.33,443,10.0.0.2,38072,1384,42743,676
5.649496000,0.041839000,91,52,10.0.0.2,38072,148.113.1.33,443,0,676,13679
5.666036000,0.016540000,92,1436,148.113.1.33,443,10.0.0.2,38072,1384,44127,676
5.712991000,0.046955000,93,52,10.0.0.2,38072,148.113.1.33,443,0,676,13679
5.730230000,0.017239000,94,1436,148.113.1.33,443,10.0.0.2,38072,1384,13679,676
5.730295000,0.000065000,95,1436,148.113.1.33,443,10.0.0.2,38072,1384,45511,676
5.774786000,0.044491000,96,52,10.0.0.2,38072,148.113.1.33,443,0,676,13679
5.790996000,0.016210000,97,1436,148.113.1.33,443,10.0.0.2,38072,1384,46895,676
5.837772000,0.046776000,98,52,10.0.0.2,38072,148.113.1.33,443,0,676,13679
5.866339000,0.028567000,99,1436,148.113.1.33,443,10.0.0.2,38072,1384,48279,676
5.899643000,0.033304000,100,52,10.0.0.2,38072,148.113.1.33,443,0,676,13679
5.915858000,0.016215000,101,1436,148.113.1.33,443,10.0.0.2,38072,1384,49663,676
5.962601000,0.046743000,102,52,10.0.0.2,38072,148.113.1.33,443,0,676,15063
5.979622000,0.017021000,103,1436,148.113.1.33,443,10.0.0.2,38072,1384,51047,676
6.024608000,0.044986000,104,52,10.0.0.2,38072,148.113.1.33,443,0,676,15063
6.041041000,0.016433000,105,1436,148.113.1.33,443,10.0.0.2,38072,1384,15063,676
6.041107000,0.000066000,106,1436,148.113.1.33,443,10.0.0.2,38072,1384,52431,676
6.087250000,0.046143000,107,52,10.0.0.2,38072,148.113.1.33,443,0,676,15063
6.104338000,0.017088000,108,1436,148.113.1.33,443,10.0.0.2,38072,1384,53815,676
6.150062000,0.045724000,109,52,10.0.0.2,38072,148.113.1.33,443,0,676,15063
6.165179000,0.015117000,110,1436,148.113.1.33,443,10.0.0.2,38072,1384,55199,676
6.212883000,0.047704000,111,52,10.0.0.2,38072,148.113.1.33,443,0,676,15063
6.228613000,0.015730000,112,1436,148.113.1.33,443,10.0.0.2,38072,1384,56583,676
6.274967000,0.046354000,113,52,10.0.0.2,38072,148.113.1.33,443,0,676,15063
