frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
14.974661000,0.275995000,1448,62265,143,
15.004218000,0.029557000,0,143,65161,0.740117000
15.282805000,0.278587000,1448,69505,143,
15.311672000,0.028867000,0,143,65161,
15.894141000,0.582469000,1448,65161,143,
15.921012000,0.026871000,0,143,68057,1.252386000
16.199132000,0.278120000,1448,68057,143,
16.200338000,0.001206000,1448,69505,143,
16.227363000,0.027025000,0,143,70953,0.944558000
16.259832000,0.032469000,1448,70953,143,
16.287611000,0.027779000,0,143,72401,0.027779000
16.500120000,0.212509000,1448,72401,143,
16.508350000,0.008230000,1448,73849,143,
16.528613000,0.020263000,0,143,73849,0.028493000
16.534647000,0.006034000,0,143,75297,0.026297000
16.581154000,0.046507000,1448,75297,143,
16.581197000,0.000043000,1448,76745,143,
16.607087000,0.025890000,0,143,76745,0.025933000
16.873342000,0.266255000,1448,78193,143,
16.873382000,0.000040000,1448,79641,143,
16.902254000,0.028872000,0,143,76745,
17.157063000,0.254809000,1448,81089,143,
17.157109000,0.000046000,1448,82537,143,
17.185489000,0.028380000,0,143,76745,
17.424716000,0.239227000,1448,76745,143,
17.451012000,0.026296000,0,143,79641,0.577670000
17.739967000,0.288955000,1448,83985,143,
17.770089000,0.030122000,0,143,79641,
18.250672000,0.480583000,1448,79641,143,
18.276002000,0.025330000,0,143,82537,1.118939000
18.521437000,0.245435000,1448,82537,143,
18.546579000,0.025142000,0,143,85433,0.806612000
18.547927000,0.001348000,1448,83985,143,
18.576324000,0.028397000,0,143,85433,0.028397000
18.596741000,0.020417000,1448,85433,143,
18.624578000,0.027837000,0,143,86881,0.027837000
18.791592000,0.167014000,1448,86881,143,
18.817568000,0.025976000,0,143,88329,0.025976000
18.817668000,0.000100000,1448,88329,143,
18.847612000,0.029944000,0,143,89777,0.029944000
18.872142000,0.024530000,1448,89777,143,
18.902984000,0.030842000,0,143,91225,0.030842000
19.066139000,0.163155000,1448,91225,143,
19.066170000,0.000031000,1448,92673,143,
19.094402000,0.028232000,0,143,92673,0.028263000
19.155752000,0.061350000,1448,94121,143,
19.155812000,0.000060000,1448,95569,143,
19.185604000,0.029792000,0,143,92673,
19.430850000,0.245246000,1448,97017,143,
19.439960000,0.009110000,1448,98465,143,
19.456948000,0.016988000,0,143,92673,
19.468960000,0.012012000,0,143,92673,
19.704978000,0.236018000,1448,99913,143,
19.722203000,0.017225000,1448,92673,143,
19.733086000,0.010883000,0,143,92673,
19.751392000,0.018306000,0,143,95569,0.595640000
19.995107000,0.243715000,1448,95569,143,
20.010231000,0.015124000,1448,101361,143,
20.022419000,0.012188000,0,143,101361,0.317441000
20.040140000,0.017721000,0,143,102809,0.029909000
20.266243000,0.226103000,1448,102809,143,
20.293221000,0.026978000,0,143,104257,0.026978000
20.305828000,0.012607000,1448,104257,143,
20.305859000,0.000031000,1448,105705,143,
20.335857000,0.029998000,0,143,105705,0.030029000
20.545745000,0.209888000,1448,107153,143,
20.545805000,0.000060000,1448,108601,143,
20.570579000,0.024774000,0,143,105705,
20.619303000,0.048724000,1448,110049,143,
20.648381000,0.029078000,0,143,105705,
20.814928000,0.166547000,1448,111497,143,
20.842007000,0.027079000,0,143,105705,
20.895691000,0.053684000,1448,112945,143,
20.926561000,0.030870000,0,143,105705,
21.086949000,0.160388000,1448,105705,143,
21.112883000,0.025934000,0,143,108601,0.567138000
21.357382000,0.244499000,1448,108601,143,
21.371319000,0.013937000,1448,114393,143,
21.383664000,0.012345000,0,143,114393,0.487973000
21.444176000,0.060512000,0,143,115841,0.072857000
21.633091000,0.188915000,1448,115841,143,
21.695829000,0.062738000,1448,117289,143,
21.695897000,0.000068000,1448,118737,143,
21.721230000,0.025333000,0,143,118737,0.025401000
22.021621000,0.300391000,1448,120185,143,
22.023979000,0.002358000,1448,121633,143,
22.046090000,0.022111000,0,143,118737,
22.052333000,0.006243000,0,143,118737,
22.432518000,0.380185000,1448,123081,143,
22.432584000,0.000066000,1448,124529,143,
22.432591000,0.000007000,1448,125977,143,
22.462678000,0.030087000,0,143,118737,
22.493328000,0.030650000,1448,118737,143,
22.522278000,0.028950000,0,143,124529,0.089760000
22.840335000,0.318057000,1448,127425,143,
22.848461000,0.008126000,1448,128873,143,
22.865192000,0.016731000,0,143,124529,
22.877399000,0.012207000,0,143,124529,
23.160922000,0.283523000,1448,130321,143,
23.191283000,0.030361000,0,143,124529,
23.351262000,0.159979000,1448,124529,143,
23.377445000,0.026183000,0,143,125977,0.944861000
23.812526000,0.435081000,1448,125977,143,
23.812589000,0.000063000,1448,127425,143,
23.841206000,0.028617000,0,143,131769,0.680284000
24.088607000,0.247401000,1448,131769,143,
24.114323000,0.025716000,1448,133217,143,
24.118650000,0.004327000,0,143,133217,0.030043000
24.142249000,0.023599000,0,143,134665,0.027926000
24.171263000,0.029014000,1448,134665,143,
24.197225000,0.025962000,0,143,136113,0.025962000
24.364038000,0.166813000,1448,136113,143,
24.364098000,0.000060000,1448,137561,143,
24.389388000,0.025290000,0,143,137561,0.025350000
24.449802000,0.060414000,1448,139009,143,
24.449904000,0.000102000,1448,140457,143,
24.481039000,0.031135000,0,143,137561,
24.725933000,0.244894000,1448,141905,143,
24.727098000,0.001165000,1448,143353,143,
24.751886000,0.024788000,0,143,137561,
24.758129000,0.006243000,0,143,137561,
24.996564000,0.238435000,1448,144801,143,
25.015248000,0.018684000,1448,137561,143,
25.022170000,0.006922000,0,143,137561,
25.040901000,0.018731000,0,143,140457,0.591099000
25.289935000,0.249034000,1448,140457,143,
25.303614000,0.013679000,1448,146249,143,
25.317553000,0.013939000,0,143,146249,0.320989000
25.329630000,0.012077000,0,143,147697,0.026016000
25.563767000,0.234137000,1448,147697,143,
25.594347000,0.030580000,0,143,149145,0.030580000
25.603269000,0.008922000,1448,149145,143,
25.630277000,0.027008000,0,143,150593,0.027008000
25.643887000,0.013610000,1448,150593,143,
25.643916000,0.000029000,1448,152041,143,
25.673965000,0.030049000,0,143,152041,0.030078000
25.878916000,0.204951000,1448,153489,143,
25.878989000,0.000073000,1448,154937,143,
25.908708000,0.029719000,0,143,152041,
26.180139000,0.028457000,1448,156385,143,
26.180182000,0.000043000,1448,157833,143,
26.210016000,0.029834000,0,143,152041,
26.445785000,0.235769000,1448,152041,143,
26.474224000,0.028439000,0,143,154937,0.595308000
26.722955000,0.248731000,1448,159281,143,
26.751824000,0.028869000,0,143,154937,
27.235345000,0.483521000,1448,154937,143,
27.263405000,0.028060000,0,143,157833,1.083266000
27.509189000,0.245784000,1448,157833,143,
27.529142000,0.019953000,1448,159281,143,
27.534466000,0.005324000,0,143,160729,0.811511000
27.558385000,0.023919000,0,143,160729,
27.589026000,0.030641000,1448,160729,143,
27.618307000,0.029281000,0,143,162177,0.029281000
