frame.time_relative,frame.number,frame.len,ip.src,udp.srcport,ip.dst,udp.dstport,udp.length
0.000000000,1,63,10.0.0.2,58524,10.255.255.254,53,43
0.000126000,2,63,10.0.0.2,58524,10.255.255.254,53,43
1.101566000,12,538,10.255.255.254,53,10.0.0.2,58524,518
1.104043000,13,522,10.255.255.254,53,10.0.0.2,58524,502
