frame.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
4.772433000,94,1500,90.130.70.73,80,10.0.0.2,54882,1448,21721,138
4.772512000,95,1500,90.130.70.73,80,10.0.0.2,54882,1448,55025,138
4.772517000,96,1500,90.130.70.73,80,10.0.0.2,54882,1448,56473,138
4.809859000,97,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
4.830890000,98,1500,90.130.70.73,80,10.0.0.2,54882,1448,57921,138
4.871618000,99,52,10.0.0.2,54882,90.130.70.73,80,0,138,21721
4.920206000,100,1500,90.130.70.73,80,10.0.0.2,54882,1448,59369,138
4.934912000,101,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
4.981190000,102,1500,90.130.70.73,80,10.0.0.2,54882,1448,60817,138
4.996352000,103,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.042752000,104,1500,90.130.70.73,80,10.0.0.2,54882,1448,62265,138
5.059839000,105,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.081152000,106,1500,90.130.70.73,80,10.0.0.2,54882,1448,63713,138
5.121045000,107,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.158059000,108,1500,90.130.70.73,80,10.0.0.2,54882,1448,23169,138
5.158180000,109,1500,90.130.70.73,80,10.0.0.2,54882,1448,65161,138
5.184350000,110,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.222534000,111,1500,90.130.70.73,80,10.0.0.2,54882,1448,66609,138
5.246097000,112,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.280728000,113,1500,90.130.70.73,80,10.0.0.2,54882,1448,68057,138
5.309984000,114,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.333788000,115,1500,90.130.70.73,80,10.0.0.2,54882,1448,69505,138
5.370911000,116,52,10.0.0.2,54882,90.130.70.73,80,0,138,23169
5.393263000,117,1500,90.130.70.73,80,10.0.0.2,54882,1448,70953,138
5.433214000,118,52,10.0.0.2,54882,90.130.70.73,80,0,138,24617
5.462006000,119,1500,90.130.70.73,80,10.0.0.2,54882,1448,72401,138
