frame.time_relative,frame.number,frame.len,ip.src,udp.srcport,ip.dst,udp.dstport,udp.length
0.068815000,2,54,10.0.0.2,37060,10.255.255.254,53,34
0.068902000,3,54,10.0.0.2,37060,10.255.255.254,53,34
0.098327000,4,376,10.255.255.254,53,10.0.0.2,37060,356
0.100792000,5,388,10.255.255.254,53,10.0.0.2,37060,368
1.066403000,23,58,10.0.0.2,44789,10.255.255.254,53,38
1.066410000,24,58,10.0.0.2,44789,10.255.255.254,53,38
1.102620000,25,367,10.255.255.254,53,10.0.0.2,44789,347
1.104033000,26,355,10.255.255.254,53,10.0.0.2,44789,335
