frame.time_relative,frame.number,frame.len,ip.src,udp.srcport,ip.dst,udp.dstport,udp.length
0.000000000,1,63,10.0.0.2,43690,10.255.255.254,53,43
0.000057000,2,63,10.0.0.2,43690,10.255.255.254,53,43
0.084628000,3,538,10.255.255.254,53,10.0.0.2,43690,518
0.088159000,4,522,10.255.255.254,53,10.0.0.2,43690,502
