frame.time_relative,frame.time_delta,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
2.352753000,0.000027000,74,1436,148.113.1.33,443,10.0.0.2,53788,1384,48279,676
2.352761000,0.000008000,75,1436,148.113.1.33,443,10.0.0.2,53788,1384,49663,676
2.352766000,0.000005000,76,52,10.0.0.2,53788,148.113.1.33,443,0,676,41359
2.352766000,0.000000000,77,1436,148.113.1.33,443,10.0.0.2,53788,1384,51047,676
2.357168000,0.004402000,78,1436,148.113.1.33,443,10.0.0.2,53788,1384,52431,676
2.357235000,0.000067000,79,1436,148.113.1.33,443,10.0.0.2,53788,1384,53815,676
2.359884000,0.002649000,80,1436,148.113.1.33,443,10.0.0.2,53788,1384,55199,676
2.359956000,0.000072000,81,1436,148.113.1.33,443,10.0.0.2,53788,1384,56583,676
2.364832000,0.004876000,82,52,10.0.0.2,53788,148.113.1.33,443,0,676,44127
2.368659000,0.003827000,83,1436,148.113.1.33,443,10.0.0.2,53788,1384,57967,676
2.368724000,0.000065000,84,1436,148.113.1.33,443,10.0.0.2,53788,1384,59351,676
2.368730000,0.000006000,85,1436,148.113.1.33,443,10.0.0.2,53788,1384,60735,676
2.368734000,0.000004000,86,1436,148.113.1.33,443,10.0.0.2,53788,1384,62119,676
2.388987000,0.020253000,87,1436,148.113.1.33,443,10.0.0.2,53788,1384,63503,676
2.389017000,0.000030000,88,1436,148.113.1.33,443,10.0.0.2,53788,1384,64887,676
2.389021000,0.000004000,89,1436,148.113.1.33,443,10.0.0.2,53788,1384,66271,676
2.389025000,0.000004000,90,1436,148.113.1.33,443,10.0.0.2,53788,1384,67655,676
2.413109000,0.024084000,91,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.424767000,0.011658000,92,1436,148.113.1.33,443,10.0.0.2,53788,1384,69039,676
2.424836000,0.000069000,93,1436,148.113.1.33,443,10.0.0.2,53788,1384,70423,676
2.424844000,0.000008000,94,1436,148.113.1.33,443,10.0.0.2,53788,1384,71807,676
2.424850000,0.000006000,95,1436,148.113.1.33,443,10.0.0.2,53788,1384,73191,676
2.424855000,0.000005000,96,1436,148.113.1.33,443,10.0.0.2,53788,1384,74575,676
2.424861000,0.000006000,97,1436,148.113.1.33,443,10.0.0.2,53788,1384,75959,676
2.424867000,0.000006000,98,1436,148.113.1.33,443,10.0.0.2,53788,1384,77343,676
2.424873000,0.000006000,99,1436,148.113.1.33,443,10.0.0.2,53788,1384,78727,676
2.424879000,0.000006000,100,1436,148.113.1.33,443,10.0.0.2,53788,1384,80111,676
2.424884000,0.000005000,101,1436,148.113.1.33,443,10.0.0.2,53788,1384,81495,676
2.424890000,0.000006000,102,1436,148.113.1.33,443,10.0.0.2,53788,1384,82879,676
2.424895000,0.000005000,103,1436,148.113.1.33,443,10.0.0.2,53788,1384,84263,676
2.429334000,0.004439000,104,1436,148.113.1.33,443,10.0.0.2,53788,1384,85647,676
2.429419000,0.000085000,105,1436,148.113.1.33,443,10.0.0.2,53788,1384,87031,676
2.429425000,0.000006000,106,1436,148.113.1.33,443,10.0.0.2,53788,1384,88415,676
2.429430000,0.000005000,107,1436,148.113.1.33,443,10.0.0.2,53788,1384,89799,676
2.436304000,0.006874000,108,52,10.0.0.2,54070,148.113.1.33,80,0,144,372
2.441657000,0.005353000,109,1436,148.113.1.33,443,10.0.0.2,53788,1384,91183,676
2.441724000,0.000067000,110,1436,148.113.1.33,443,10.0.0.2,53788,1384,92567,676
2.442116000,0.000392000,111,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.448731000,0.006615000,112,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.454259000,0.005528000,113,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.460448000,0.006189000,114,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.466285000,0.005837000,115,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.472345000,0.006060000,116,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.478932000,0.006587000,117,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.484954000,0.006022000,118,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.490272000,0.005318000,119,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
2.496255000,0.005983000,120,52,10.0.0.2,53788,148.113.1.33,443,0,676,45511
