frame.time_relative,ip.src,ip.dst,udp.length
"0.671338000","10.0.0.2","10.0.0.1","35"
"0.671468000","10.0.0.2","10.0.0.1","35"
"0.673603000","10.0.0.1","10.0.0.2","1288"
"0.676703000","10.0.0.1","10.0.0.2","1288"
"0.680113000","10.0.0.1","10.0.0.2","1288"
"0.682908000","10.0.0.2","10.0.0.1","35"
"0.682943000","10.0.0.2","10.0.0.1","35"
"0.684132000","10.0.0.1","10.0.0.2","1288"
"0.686527000","10.0.0.1","10.0.0.2","1288"
"0.691197000","10.0.0.1","10.0.0.2","1288"
"0.694487000","10.0.0.1","10.0.0.2","1288"
"0.694860000","10.0.0.2","10.0.0.1","35"
"0.694912000","10.0.0.2","10.0.0.1","35"
"0.697668000","10.0.0.1","10.0.0.2","1288"
"0.701197000","10.0.0.1","10.0.0.2","1288"
"0.703731000","10.0.0.1","10.0.0.2","721"
"0.706415000","10.0.0.1","10.0.0.2","1288"
"0.706629000","10.0.0.2","10.0.0.1","35"
"0.709389000","10.0.0.1","10.0.0.2","1288"
"0.711971000","10.0.0.1","10.0.0.2","1288"
"0.712638000","10.0.0.2","10.0.0.1","35"
"0.715635000","10.0.0.1","10.0.0.2","1288"
"0.718469000","10.0.0.1","10.0.0.2","1288"
"0.719207000","10.0.0.2","10.0.0.1","35"
"0.721220000","10.0.0.1","10.0.0.2","1288"
"0.724583000","10.0.0.1","10.0.0.2","1288"
"0.725070000","10.0.0.2","10.0.0.1","35"
"0.725120000","10.0.0.2","10.0.0.1","35"
"0.726902000","10.0.0.1","10.0.0.2","1288"
"0.730964000","10.0.0.2","10.0.0.1","35"
"0.731040000","10.0.0.1","10.0.0.2","1288"
"0.732603000","10.0.0.1","10.0.0.2","1288"
"0.736794000","10.0.0.2","10.0.0.1","35"
"0.737035000","10.0.0.1","10.0.0.2","1288"
"0.739379000","10.0.0.1","10.0.0.2","1288"
"0.746906000","10.0.0.1","10.0.0.2","1288"
"0.746959000","10.0.0.1","10.0.0.2","1288"
"0.748184000","10.0.0.1","10.0.0.2","1288"
"0.749142000","10.0.0.2","10.0.0.1","35"
"0.749199000","10.0.0.2","10.0.0.1","35"
"0.752331000","10.0.0.1","10.0.0.2","1288"
"0.753581000","10.0.0.1","10.0.0.2","1288"
"0.757182000","10.0.0.1","10.0.0.2","1288"
"0.759600000","10.0.0.1","10.0.0.2","1288"
"0.761193000","10.0.0.2","10.0.0.1","35"
"0.761235000","10.0.0.2","10.0.0.1","35"
"0.761856000","10.0.0.1","10.0.0.2","1288"
"0.766516000","10.0.0.1","10.0.0.2","1288"
"0.767241000","10.0.0.2","10.0.0.1","35"
"0.768813000","10.0.0.1","10.0.0.2","1288"
"0.771926000","10.0.0.1","10.0.0.2","1288"
"0.774850000","10.0.0.1","10.0.0.2","1288"
"0.776769000","10.0.0.1","10.0.0.2","1288"
"0.778570000","10.0.0.2","10.0.0.1","36"
"0.780333000","10.0.0.1","10.0.0.2","1288"
"0.782612000","10.0.0.1","10.0.0.2","716"
"0.783855000","10.0.0.1","10.0.0.2","1288"
"0.785671000","10.0.0.2","10.0.0.1","35"
"0.785753000","10.0.0.2","10.0.0.1","36"
"0.786645000","10.0.0.1","10.0.0.2","1288"
"0.788803000","10.0.0.1","10.0.0.2","1288"
"0.791078000","10.0.0.1","10.0.0.2","1288"
"0.791454000","10.0.0.2","10.0.0.1","36"
"0.794621000","10.0.0.1","10.0.0.2","1288"
"0.795851000","10.0.0.1","10.0.0.2","1288"
"0.799159000","10.0.0.1","10.0.0.2","1288"
"0.802354000","10.0.0.1","10.0.0.2","1288"
"0.802820000","10.0.0.2","10.0.0.1","36"
"0.802884000","10.0.0.2","10.0.0.1","37"
"0.803602000","10.0.0.1","10.0.0.2","1288"
"0.808997000","10.0.0.1","10.0.0.2","1288"
"0.809064000","10.0.0.1","10.0.0.2","1288"
"0.809135000","10.0.0.2","10.0.0.1","37"
"0.813562000","10.0.0.1","10.0.0.2","1288"
"0.813624000","10.0.0.1","10.0.0.2","1288"
"0.821479000","10.0.0.1","10.0.0.2","1288"
"0.821568000","10.0.0.1","10.0.0.2","1288"
"0.821577000","10.0.0.1","10.0.0.2","1288"
"0.821624000","10.0.0.2","10.0.0.1","37"
"0.821756000","10.0.0.2","10.0.0.1","37"
"0.823923000","10.0.0.1","10.0.0.2","1288"
"0.826312000","10.0.0.1","10.0.0.2","1288"
"0.826978000","10.0.0.2","10.0.0.1","37"
"0.828589000","10.0.0.1","10.0.0.2","1288"
"0.831123000","10.0.0.1","10.0.0.2","1288"
"0.833401000","10.0.0.1","10.0.0.2","1288"
"0.834621000","10.0.0.1","10.0.0.2","1288"
"0.836452000","10.0.0.1","10.0.0.2","1288"
"0.838888000","10.0.0.2","10.0.0.1","37"
"0.839253000","10.0.0.1","10.0.0.2","1288"
"0.841560000","10.0.0.1","10.0.0.2","1288"
"0.845512000","10.0.0.2","10.0.0.1","37"
"0.845552000","10.0.0.2","10.0.0.1","37"
"0.850398000","10.0.0.2","10.0.0.1","37"
"0.850464000","10.0.0.1","10.0.0.2","1288"
"0.850526000","10.0.0.1","10.0.0.2","711"
"0.850533000","10.0.0.1","10.0.0.2","58"
"0.850538000","10.0.0.1","10.0.0.2","1288"
"0.850542000","10.0.0.1","10.0.0.2","1288"
"0.862054000","10.0.0.1","10.0.0.2","1288"
"0.862124000","10.0.0.1","10.0.0.2","1288"
"0.862131000","10.0.0.1","10.0.0.2","1288"
"0.863304000","10.0.0.1","10.0.0.2","1288"
"0.863335000","10.0.0.1","10.0.0.2","1288"
"0.863621000","10.0.0.2","10.0.0.1","37"
"0.863683000","10.0.0.2","10.0.0.1","37"
"0.864525000","10.0.0.1","10.0.0.2","1288"
"0.867913000","10.0.0.1","10.0.0.2","1288"
"0.867978000","10.0.0.1","10.0.0.2","1288"
"0.869525000","10.0.0.2","10.0.0.1","37"
"0.870209000","10.0.0.1","10.0.0.2","1288"
"0.880146000","10.0.0.1","10.0.0.2","1288"
"0.880205000","10.0.0.1","10.0.0.2","1288"
"0.881215000","10.0.0.2","10.0.0.1","37"
"0.881278000","10.0.0.2","10.0.0.1","37"
"0.886888000","10.0.0.2","10.0.0.1","37"
"0.887638000","10.0.0.1","10.0.0.2","1288"
"0.887715000","10.0.0.1","10.0.0.2","1288"
"0.887724000","10.0.0.1","10.0.0.2","1288"
"0.887731000","10.0.0.1","10.0.0.2","1288"
"0.887739000","10.0.0.1","10.0.0.2","1288"
"0.887746000","10.0.0.1","10.0.0.2","1288"
"0.893586000","10.0.0.1","10.0.0.2","1288"
"0.893636000","10.0.0.1","10.0.0.2","1288"
"0.898501000","10.0.0.2","10.0.0.1","37"
"0.903548000","10.0.0.1","10.0.0.2","1288"
"0.903588000","10.0.0.1","10.0.0.2","1288"
"0.903594000","10.0.0.1","10.0.0.2","1288"
"0.903597000","10.0.0.1","10.0.0.2","1288"
"0.905114000","10.0.0.2","10.0.0.1","37"
"0.905148000","10.0.0.2","10.0.0.1","36"
"0.909987000","10.0.0.1","10.0.0.2","1288"
