frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
5.076368000,0.016211000,1448,101558,132,
5.122925000,0.046557000,0,132,72598,
5.138313000,0.015388000,1448,103006,132,
5.248151000,0.109838000,0,132,72598,
5.310421000,0.062270000,0,132,72598,
5.329484000,0.019063000,1448,91422,132,
5.329604000,0.000120000,1448,104454,132,
5.372807000,0.043203000,0,132,79838,1.358994000
5.435996000,0.063189000,0,132,79838,
5.451487000,0.015491000,1448,105902,132,
5.498059000,0.046572000,0,132,91422,1.046231000
5.514465000,0.016406000,1448,107350,132,
5.560375000,0.045910000,0,132,91422,
5.575909000,0.015534000,1448,108798,132,
5.622907000,0.046998000,0,132,91422,
5.640364000,0.017457000,1448,97214,132,
5.640422000,0.000058000,1448,110246,132,
5.685254000,0.044832000,0,132,91422,
5.701434000,0.016180000,1448,111694,132,
5.747749000,0.046315000,0,132,97214,1.110481000
5.762769000,0.015020000,1448,113142,132,
5.810165000,0.047396000,0,132,97214,
5.826171000,0.016006000,1448,114590,132,
5.873231000,0.047060000,0,132,97214,
5.888532000,0.015301000,1448,116038,132,
5.934902000,0.046370000,0,132,97214,
5.949126000,0.014224000,1448,117486,132,
5.997877000,0.048751000,0,132,97214,
6.013710000,0.015833000,1448,118934,132,
6.060497000,0.046787000,0,132,110246,0.484588000
6.122997000,0.062500000,0,132,111694,0.482575000
6.136878000,0.013881000,1448,120382,132,
6.185612000,0.048734000,0,132,113142,0.484178000
6.199724000,0.014112000,1448,121830,132,
6.247904000,0.048180000,0,132,114590,0.485135000
6.309982000,0.062078000,0,132,116038,0.483811000
6.326473000,0.016491000,1448,123278,132,
6.373414000,0.046941000,0,132,117486,0.484882000
6.387344000,0.013930000,1448,124726,132,
6.435386000,0.048042000,0,132,118934,0.486260000
6.498008000,0.062622000,0,132,120382,0.484298000
6.558467000,0.060459000,0,132,121830,0.421589000
6.576997000,0.018530000,1448,126174,132,
6.625646000,0.048649000,0,132,123278,0.425922000
6.637177000,0.011531000,1448,127622,132,
6.684795000,0.047618000,0,132,124726,0.358322000
6.701289000,0.016494000,1448,129070,132,
6.701366000,0.000077000,1448,130518,132,
6.747963000,0.046597000,0,132,126174,0.360619000
6.761279000,0.013316000,1448,131966,132,
6.829499000,0.068220000,1448,133414,132,
6.872653000,0.043154000,0,132,127622,0.295656000
6.886492000,0.013839000,1448,134862,132,
6.935450000,0.048958000,0,132,129070,0.298273000
6.953905000,0.018455000,1448,136310,132,
6.997546000,0.043641000,0,132,130518,0.296257000
7.059757000,0.062211000,0,132,131966,0.358391000
7.075657000,0.015900000,1448,137758,132,
7.122659000,0.047002000,0,132,133414,0.361380000
7.139109000,0.016450000,1448,139206,132,
7.185128000,0.046019000,0,132,134862,0.355629000
7.200028000,0.014900000,1448,140654,132,
7.248607000,0.048579000,0,132,136310,0.362115000
7.263552000,0.014945000,1448,142102,132,
7.263673000,0.000121000,1448,143550,132,
7.310164000,0.046491000,0,132,137758,0.356259000
7.325879000,0.015715000,1448,144998,132,
7.371433000,0.045554000,0,132,139206,0.295776000
7.388974000,0.017541000,1448,146446,132,
7.452110000,0.063136000,1448,147894,132,
7.498334000,0.046224000,0,132,142102,0.298306000
7.513522000,0.015188000,1448,149342,132,
7.577855000,0.064333000,1448,150790,132,
7.623080000,0.045225000,0,132,144998,0.359407000
7.705625000,0.082545000,1448,152238,132,
7.705708000,0.000083000,1448,153686,132,
7.747561000,0.041853000,0,132,147894,0.358587000
7.828473000,0.080912000,1448,155134,132,
7.828544000,0.000071000,1448,156582,132,
7.872949000,0.044405000,0,132,150790,0.359427000
7.954744000,0.081795000,1448,158030,132,
7.954825000,0.000081000,1448,159478,132,
7.998611000,0.043786000,0,132,153686,0.292986000
8.059781000,0.061170000,0,132,155134,0.354073000
8.080014000,0.020233000,1448,160926,132,
8.080103000,0.000089000,1448,162374,132,
8.184730000,0.104627000,0,132,158030,0.356186000
8.201397000,0.016667000,1448,163822,132,
8.201517000,0.000120000,1448,165270,132,
8.264737000,0.063220000,1448,166718,132,
8.309815000,0.045078000,0,132,160926,0.354990000
8.391896000,0.082081000,1448,168166,132,
8.391978000,0.000082000,1448,169614,132,
8.434659000,0.042681000,0,132,163822,0.354556000
8.516903000,0.082244000,1448,171062,132,
8.517041000,0.000138000,1448,172510,132,
8.560131000,0.043090000,0,132,166718,0.358614000
8.641759000,0.081628000,1448,173958,132,
8.641821000,0.000062000,1448,175406,132,
8.685733000,0.043912000,0,132,169614,0.293837000
8.748152000,0.062419000,0,132,171062,0.356174000
8.767374000,0.019222000,1448,176854,132,
8.767460000,0.000086000,1448,178302,132,
8.872783000,0.105323000,0,132,173958,0.355742000
8.887814000,0.015031000,1448,179750,132,
8.888013000,0.000199000,1448,181198,132,
8.953318000,0.065305000,1448,182646,132,
8.998172000,0.044854000,0,132,176854,0.356351000
9.079909000,0.081737000,1448,184094,132,
9.079960000,0.000051000,1448,185542,132,
9.123504000,0.043544000,0,132,179750,0.356044000
9.205705000,0.082201000,1448,186990,132,
9.205744000,0.000039000,1448,188438,132,
9.247989000,0.042245000,0,132,182646,0.359976000
9.331143000,0.083154000,1448,189886,132,
9.331242000,0.000099000,1448,191334,132,
9.373277000,0.042035000,0,132,185542,0.293368000
9.435791000,0.062514000,0,132,186990,0.355831000
9.455764000,0.019973000,1448,192782,132,
9.455886000,0.000122000,1448,194230,132,
9.559908000,0.104022000,0,132,189886,0.354164000
9.576210000,0.016302000,1448,195678,132,
9.576272000,0.000062000,1448,197126,132,
9.640685000,0.064413000,1448,198574,132,
9.640879000,0.000194000,1448,200022,132,
9.685201000,0.044322000,0,132,192782,0.353959000
9.766851000,0.081650000,1448,201470,132,
9.766931000,0.000080000,1448,202918,132,
9.809903000,0.042972000,0,132,195678,0.354017000
9.892205000,0.082302000,1448,204366,132,
9.892279000,0.000074000,1448,205814,132,
9.935409000,0.043130000,0,132,198574,0.359137000
10.017467000,0.082058000,1448,207262,132,
10.017554000,0.000087000,1448,208710,132,
10.017561000,0.000007000,1448,210158,132,
10.017568000,0.000007000,1448,211606,132,
10.060513000,0.042945000,0,132,201470,0.419634000
10.142634000,0.082121000,1448,213054,132,
10.142697000,0.000063000,1448,214502,132,
10.185173000,0.042476000,0,132,204366,0.418242000
10.267820000,0.082647000,1448,215950,132,
10.267962000,0.000142000,1448,217398,132,
10.267969000,0.000007000,1448,218846,132,
10.310564000,0.042595000,0,132,207262,0.418285000
10.392284000,0.081720000,1448,220294,132,
10.392386000,0.000102000,1448,221742,132,
10.435409000,0.043023000,0,132,210158,0.417855000
10.518505000,0.083096000,1448,223190,132,
10.518590000,0.000085000,1448,224638,132,
10.559182000,0.040592000,0,132,213054,0.541614000
10.642352000,0.083170000,1448,226086,132,
10.642489000,0.000137000,1448,227534,132,
10.642500000,0.000011000,1448,228982,132,
10.642507000,0.000007000,1448,230430,132,
10.685121000,0.042614000,0,132,215950,0.542424000
10.766420000,0.081299000,1448,231878,132,
10.766502000,0.000082000,1448,233326,132,
10.810490000,0.043988000,0,132,218846,0.542528000
10.873114000,0.062624000,0,132,220294,0.605145000
10.892145000,0.019031000,1448,234774,132,
10.892247000,0.000102000,1448,236222,132,
10.998222000,0.105975000,0,132,223190,0.605836000
11.013727000,0.015505000,1448,237670,132,
11.013813000,0.000086000,1448,239118,132,
11.013820000,0.000007000,1448,240566,132,
11.013825000,0.000005000,1448,242014,132,
11.078106000,0.064281000,1448,243462,132,
11.078198000,0.000092000,1448,244910,132,
11.123734000,0.045536000,0,132,226086,0.605144000
11.205538000,0.081804000,1448,246358,132,
11.205598000,0.000060000,1448,247806,132,
11.247937000,0.042339000,0,132,228982,0.605448000
11.309984000,0.062047000,0,132,228982,
11.331133000,0.021149000,1448,249254,132,
11.331246000,0.000113000,1448,250702,132,
11.331256000,0.000010000,1448,252150,132,
11.331263000,0.000007000,1448,253598,132,
11.373166000,0.041903000,0,132,228982,
11.435409000,0.062243000,0,132,228982,
11.451988000,0.016579000,1448,255046,132,
11.452057000,0.000069000,1448,256494,132,
11.498244000,0.046187000,0,132,228982,
11.512889000,0.014645000,1448,228982,132,
11.560463000,0.047574000,0,132,228982,
11.578113000,0.017650000,1448,230430,132,
11.623019000,0.044906000,0,132,228982,
11.684882000,0.061863000,0,132,228982,
11.702257000,0.017375000,1448,257942,132,
11.748374000,0.046117000,0,132,228982,
11.763561000,0.015187000,1448,259390,132,
11.810266000,0.046705000,0,132,228982,
11.873225000,0.062959000,0,132,228982,
11.888365000,0.015140000,1448,240566,132,
11.935045000,0.046680000,0,132,228982,
11.951263000,0.016218000,1448,242014,132,
11.951379000,0.000116000,1448,244910,132,
11.998460000,0.047081000,0,132,228982,
12.012949000,0.014489000,1448,260838,132,
12.060163000,0.047214000,0,132,228982,
12.075429000,0.015266000,1448,262286,132,
12.123271000,0.047842000,0,132,230430,1.480771000
12.139383000,0.016112000,1448,263734,132,
12.185272000,0.045889000,0,132,240566,1.171459000
12.200851000,0.015579000,1448,252150,132,
12.200916000,0.000065000,1448,253598,132,
12.248028000,0.047112000,0,132,240566,
12.263998000,0.015970000,1448,265182,132,
12.309836000,0.045838000,0,132,240566,
12.327342000,0.017506000,1448,266630,132,
12.327419000,0.000077000,1448,268078,132,
12.373021000,0.045602000,0,132,242014,1.359201000
12.387447000,0.014426000,1448,269526,132,
12.435499000,0.048052000,0,132,244910,1.357393000
12.451760000,0.016261000,1448,270974,132,
12.498046000,0.046286000,0,132,252150,1.166800000
12.513495000,0.015449000,1448,272422,132,
12.560078000,0.046583000,0,132,252150,
12.576053000,0.010635000,1448,273870,132,
12.623700000,0.047647000,0,132,252150,
12.638568000,0.014868000,1448,275318,132,
12.685819000,0.047251000,0,132,252150,
12.701586000,0.015767000,1448,276766,132,
12.747954000,0.046368000,0,132,253598,1.416698000
12.764388000,0.016434000,1448,278214,132,
12.810250000,0.045862000,0,132,265182,0.670867000
12.826614000,0.016364000,1448,279662,132,
12.889698000,0.063084000,1448,281110,132,
12.934020000,0.044322000,0,132,266630,0.670022000
12.952174000,0.018154000,1448,282558,132,
13.013358000,0.061184000,1448,284006,132,
13.060263000,0.046905000,0,132,268078,0.732921000
13.122820000,0.062557000,0,132,268078,
13.140871000,0.018051000,1448,285454,132,
13.184839000,0.043968000,0,132,268078,
13.248225000,0.063386000,0,132,268078,
13.263406000,0.015181000,1448,286902,132,
13.263479000,0.000073000,1448,288350,132,
13.263485000,0.000006000,1448,289798,132,
13.263490000,0.000005000,1448,291246,132,
13.309534000,0.046044000,0,132,268078,
13.325273000,0.015739000,1448,268078,132,
13.373236000,0.047963000,0,132,268078,
13.388545000,0.015309000,1448,292694,132,
13.434442000,0.045897000,0,132,268078,
13.453809000,0.019367000,1448,294142,132,
13.498381000,0.044572000,0,132,268078,
13.560043000,0.061662000,0,132,268078,
13.577212000,0.017169000,1448,295590,132,
13.623087000,0.045875000,0,132,268078,
13.638291000,0.015204000,1448,297038,132,
13.685260000,0.046969000,0,132,268078,
13.748153000,0.003114000,0,132,268078,
13.761706000,0.013553000,1448,298486,132,
13.809824000,0.048118000,0,132,268078,
13.828083000,0.018259000,1448,299934,132,
13.872962000,0.044879000,0,132,268078,
13.935385000,0.062423000,0,132,268078,
13.998194000,0.062809000,0,132,291246,0.734709000
14.011386000,0.013192000,1448,301382,132,
14.060392000,0.049006000,0,132,291246,
14.076437000,0.016045000,1448,302830,132,
14.123014000,0.046577000,0,132,291246,
14.138814000,0.015800000,1448,304278,132,
14.185352000,0.046538000,0,132,291246,
14.201737000,0.016385000,1448,291246,132,
14.201837000,0.000100000,1448,305726,132,
14.247781000,0.045944000,0,132,291246,
14.263507000,0.015726000,1448,307174,132,
14.309838000,0.046331000,0,132,291246,
14.326730000,0.016892000,1448,308622,132,
14.372659000,0.045929000,0,132,291246,
14.389036000,0.016377000,1448,310070,132,
14.435029000,0.045993000,0,132,291246,
14.450762000,0.015733000,1448,311518,132,
14.498408000,0.047646000,0,132,291246,
14.512969000,0.014561000,1448,312966,132,
14.558515000,0.045546000,0,132,291246,
14.574141000,0.015626000,1448,314414,132,
14.623013000,0.048872000,0,132,305726,0.484199000
14.638899000,0.015886000,1448,315862,132,
14.701986000,0.063087000,1448,317310,132,
14.748137000,0.046151000,0,132,308622,0.484630000
14.761808000,0.013671000,1448,318758,132,
14.828128000,0.066320000,1448,320206,132,
14.872938000,0.044810000,0,132,311518,0.483902000
14.955219000,0.082281000,1448,321654,132,
14.955300000,0.000081000,1448,323102,132,
14.996537000,0.041237000,0,132,314414,0.483568000
15.081351000,0.084814000,1448,324550,132,
15.081431000,0.000080000,1448,325998,132,
15.122401000,0.040970000,0,132,317310,0.483502000
15.185499000,0.063098000,0,132,320206,0.423691000
15.203203000,0.017704000,1448,327446,132,
15.203300000,0.000097000,1448,328894,132,
15.309979000,0.106679000,0,132,323102,0.354760000
15.325910000,0.015931000,1448,330342,132,
15.325995000,0.000085000,1448,331790,132,
15.371880000,0.045885000,0,132,324550,0.416580000
15.389008000,0.017128000,1448,333238,132,
15.389071000,0.000063000,1448,334686,132,
15.497032000,0.107961000,0,132,327446,0.415601000
15.513069000,0.016037000,1448,336134,132,
15.513157000,0.000088000,1448,337582,132,
15.576177000,0.063020000,1448,339030,132,
15.576303000,0.000126000,1448,340478,132,
15.622307000,0.046004000,0,132,330342,0.419007000
15.703990000,0.081683000,1448,341926,132,
15.704072000,0.000082000,1448,343374,132,
15.747389000,0.043317000,0,132,333238,0.421394000
15.828857000,0.081468000,1448,344822,132,
15.828960000,0.000103000,1448,346270,132,
15.871604000,0.042644000,0,132,336134,0.482533000
15.954303000,0.082699000,1448,347718,132,
15.954384000,0.000081000,1448,349166,132,
15.996896000,0.042512000,0,132,339030,0.483739000
16.078891000,0.081995000,1448,350614,132,
16.078971000,0.000080000,1448,352062,132,
16.122303000,0.043332000,0,132,341926,0.546000000
16.203742000,0.081439000,1448,353510,132,
16.203971000,0.000229000,1448,354958,132,
16.247908000,0.043937000,0,132,344822,0.543836000
16.329259000,0.081351000,1448,356406,132,
16.330073000,0.000814000,1448,357854,132,
16.371634000,0.041561000,0,132,347718,0.542674000
16.454594000,0.082960000,1448,359302,132,
16.454718000,0.000124000,1448,360750,132,
16.496632000,0.041914000,0,132,350614,0.542248000
16.578519000,0.081887000,1448,362198,132,
16.578670000,0.000151000,1448,363646,132,
16.621678000,0.043008000,0,132,353510,0.542707000
