frame.time_relative,frame.time_delta,tcp.len,tcp.seq,tcp.ack,tcp.analysis.ack_rtt
0.301097000,0.058342000,0,0,0,
0.709654000,0.218417000,0,0,1,0.408557000
0.836855000,0.029213000,0,1,1,0.127201000
0.836918000,0.000063000,142,1,1,
0.972329000,0.135411000,0,1,143,0.135411000
1.418894000,0.446565000,0,1,143,
1.421039000,0.002145000,1448,1,143,
1.421070000,0.000031000,1448,1449,143,
1.421076000,0.000006000,1448,2897,143,
1.421080000,0.000004000,1448,4345,143,
1.524928000,0.103848000,1448,5793,143,
1.525015000,0.000087000,1448,7241,143,
1.548099000,0.023084000,0,143,1449,0.127060000
1.548154000,0.000055000,0,143,2897,0.127084000
1.551521000,0.003367000,0,143,4345,0.130445000
1.551615000,0.000094000,0,143,5793,0.130535000
1.621449000,0.069834000,1448,8689,143,
1.621516000,0.000067000,1448,10137,143,
1.621521000,0.000005000,1448,11585,143,
1.632596000,0.011075000,1448,13033,143,
1.652171000,0.019575000,0,143,7241,0.127243000
1.652274000,0.000103000,0,143,8689,0.127259000
1.745381000,0.093107000,0,143,10137,0.123932000
1.747780000,0.002399000,0,143,11585,0.126264000
1.750166000,0.002386000,0,143,13033,0.128645000
1.759582000,0.009416000,0,143,14481,0.126986000
1.945005000,0.185423000,1448,14481,143,
1.945080000,0.000075000,1448,15929,143,
2.029539000,0.084459000,1448,18825,143,
2.029658000,0.000119000,1448,17377,143,
2.029666000,0.000008000,1448,20273,143,
2.029671000,0.000005000,1448,21721,143,
2.069987000,0.040316000,0,143,15929,0.124982000
2.072133000,0.002146000,0,143,17377,0.127053000
2.131296000,0.059163000,1448,23169,143,
2.131357000,0.000061000,1448,24617,143,
2.131362000,0.000005000,1448,26065,143,
2.131365000,0.000003000,1448,27513,143,
2.132474000,0.001109000,1448,28961,143,
2.132504000,0.000030000,1448,30409,143,
2.153904000,0.021400000,0,143,17377,
2.155951000,0.002047000,0,143,20273,0.126412000
2.159090000,0.003139000,0,143,21721,0.129424000
2.161306000,0.002216000,0,143,23169,0.131635000
2.209079000,0.047773000,1448,31857,143,
2.209138000,0.000059000,1448,33305,143,
2.209143000,0.000005000,1448,34753,143,
2.209147000,0.000004000,1448,36201,143,
2.255244000,0.046097000,0,143,24617,0.123948000
2.257514000,0.002270000,0,143,26065,0.126157000
2.259712000,0.002198000,0,143,27513,0.128350000
2.261777000,0.002065000,0,143,28961,0.130412000
2.265040000,0.003263000,0,143,30409,0.132566000
2.267200000,0.002160000,0,143,31857,0.134696000
2.286162000,0.018962000,1448,37649,143,
2.286276000,0.000114000,1448,39097,143,
2.286288000,0.000012000,1448,40545,143,
2.286295000,0.000007000,1448,41993,143,
2.337185000,0.050890000,0,143,33305,0.128106000
2.339388000,0.002203000,0,143,36201,0.130245000
2.380234000,0.040846000,0,143,37649,0.171087000
2.414537000,0.034303000,0,143,40545,0.128261000
2.420849000,0.006312000,0,143,43441,0.134554000
2.440680000,0.019831000,1448,43441,143,
2.440746000,0.000066000,1448,44889,143,
2.440755000,0.000009000,1448,46337,143,
2.440761000,0.000006000,1448,47785,143,
2.511946000,0.071185000,1448,49233,143,
2.512035000,0.000089000,1448,50681,143,
2.512045000,0.000010000,1448,52129,143,
2.512052000,0.000007000,1448,55025,143,
2.512059000,0.000007000,1448,53577,143,
2.512065000,0.000006000,1448,56473,143,
2.512074000,0.000009000,1448,57921,143,
2.570196000,0.058122000,0,143,47785,0.129441000
2.612894000,0.042698000,0,143,49233,0.172133000
2.638457000,0.025563000,1448,60817,143,
2.638502000,0.000045000,1448,59369,143,
2.638506000,0.000004000,1448,62265,143,
