bif_mean,bif_std,bif_max,bif_min,rtt_avg,label
5073.153846153846,4757.826111544253,13098.0,0.0,0.1247645,bbr
15928.0,2334.82984390726,20272.0,13032.0,0.29156950000000004,bbr
20272.0,0.0,20272.0,20272.0,0.0,bbr
19982.4,647.565286283939,20272.0,18824.0,0.823441,bbr
17557.0,927.9796795804775,18824.0,15928.0,0.947534,bbr
17376.0,3317.784803148028,21720.0,13032.0,0.8739796666666667,bbr
17376.0,2334.82984390726,21720.0,14480.0,0.5867915,bbr
21720.0,0.0,21720.0,21720.0,0.0,bbr
21237.333333333332,1182.2870491833473,21720.0,18824.0,0.773923,bbr
16290.0,1498.8223948915934,18824.0,14480.0,0.7747783333333333,bbr
15928.0,1254.0047846798673,17376.0,14480.0,0.7744556666666665,bbr
18643.0,1435.0131905814862,20272.0,15928.0,0.899663,bbr
18824.0,1586.204526534961,20272.0,17376.0,0.770667,bbr
11584.0,2590.261145135756,14480.0,8688.0,0.832423,bbr
5068.0,1518.6752121503794,7240.0,2896.0,0.8125273333333333,bbr
4633.6,1211.4837184213413,5792.0,2896.0,0.2082655,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.174141,bbr
5792.0,1295.130572567878,7240.0,4344.0,0.1790775,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.207784,bbr
7964.0,1518.6752121503794,10136.0,5792.0,0.243784,bbr
8977.6,1211.4837184213413,10136.0,7240.0,0.279591,bbr
9722.285714285714,1611.185662205085,11584.0,7240.0,0.305255,bbr
13032.0,1295.130572567878,14480.0,11584.0,0.0,bbr
7481.333333333333,1090.0148011227493,8688.0,5792.0,0.356494,bbr
6950.4,1211.4837184213413,8688.0,5792.0,0.29922649999999995,bbr
7240.0,1448.0,8688.0,5792.0,0.29771800000000004,bbr
7529.6,1211.4837184213413,8688.0,5792.0,0.295924,bbr
7819.2,1650.9740155435518,10136.0,5792.0,0.2943705,bbr
8977.6,1211.4837184213413,10136.0,7240.0,0.292791,bbr
8398.4,1211.4837184213413,10136.0,7240.0,0.31729399999999996,bbr
8688.0,1448.0,10136.0,7240.0,0.34159,bbr
8688.0,1448.0,10136.0,7240.0,0.3304235,bbr
8977.6,1211.4837184213413,10136.0,7240.0,0.329151,bbr
8398.4,1211.4837184213413,10136.0,7240.0,0.327355,bbr
8688.0,1448.0,10136.0,7240.0,0.3251885,bbr
9412.0,1518.6752121503794,11584.0,7240.0,0.322364,bbr
9101.714285714286,1094.585113834722,10136.0,7240.0,0.369743,bbr
11584.0,1295.130572567878,13032.0,10136.0,0.0,bbr
11584.0,4692.056265647291,15928.0,5792.0,0.315767,bbr
6371.2,1650.9740155435518,8688.0,4344.0,0.25137299999999996,bbr
5502.4,1211.4837184213413,7240.0,4344.0,0.2486755,bbr
5792.0,1295.130572567878,7240.0,4344.0,0.24663,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.24271500000000001,bbr
3764.8,1650.9740155435518,5792.0,1448.0,0.175563,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.17718,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.17416500000000001,bbr
4344.0,1448.0,5792.0,2896.0,0.172103,bbr
4633.6,1211.4837184213413,5792.0,2896.0,0.169463,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.1672075,bbr
4054.4,1211.4837184213416,5792.0,2896.0,0.163144,bbr
4344.0,1448.0,5792.0,2896.0,0.1601445,bbr
5212.8,1650.9740155435518,7240.0,2896.0,0.156419,bbr
7240.0,1295.130572567878,8688.0,5792.0,0.222996,bbr
8108.8,1650.9740155435518,10136.0,5792.0,0.252127,bbr
8688.0,1295.130572567878,10136.0,7240.0,0.28847199999999995,bbr
10136.0,1295.130572567878,11584.0,8688.0,0.335398,bbr
11825.333333333334,1090.0148011227493,13032.0,10136.0,0.37243,bbr
14190.4,647.565286283939,14480.0,13032.0,0.0,bbr
16471.0,2180.602013861572,18824.0,11584.0,0.619207,bbr
