true_label,most_common_pred,overall_accuracy,convergence_time,convergence_conf,total_windows,correct_windows,file
htcp,htcp,0.4444444444444444,24.85968525501471,1.0,9,4,cc-htcp_aqm-droptail_bw-2000_buf-20_1777452691_tcp.csv
htcp,htcp,0.3333333333333333,,,9,3,cc-htcp_aqm-droptail_bw-2000_buf-20_1777452880_tcp.csv
hybla,htcp,0.1,,,10,1,cc-hybla_aqm-droptail_bw-2000_buf-20_1777349818_tcp.csv
hybla,hybla,0.4444444444444444,21.90823551315925,1.0,9,4,cc-hybla_aqm-droptail_bw-2000_buf-20_1777349990_tcp.csv
hybla,hybla,0.3,22.250812510523417,1.0,10,3,cc-hybla_aqm-droptail_bw-2000_buf-20_1777354622_tcp.csv
hybla,hybla,0.7777777777777778,22.09981154152047,1.0,9,7,cc-hybla_aqm-droptail_bw-2000_buf-20_1777354809_tcp.csv
hybla,htcp,0.0,,,9,0,cc-hybla_aqm-droptail_bw-2000_buf-20_1777360351_tcp.csv
hybla,hybla,0.7777777777777778,27.73461225294573,1.0,9,7,cc-hybla_aqm-droptail_bw-2000_buf-20_1777360542_tcp.csv
hybla,cubic,0.0,,,9,0,cc-hybla_aqm-droptail_bw-2000_buf-20_1777365694_tcp.csv
hybla,hybla,0.5555555555555556,21.831880173517867,1.0,9,5,cc-hybla_aqm-droptail_bw-2000_buf-20_1777365871_tcp.csv
hybla,cubic,0.1,,,10,1,cc-hybla_aqm-droptail_bw-2000_buf-20_1777371868_tcp.csv
hybla,hybla,0.7777777777777778,28.05144202574872,1.0,9,7,cc-hybla_aqm-droptail_bw-2000_buf-20_1777372068_tcp.csv
hybla,htcp,0.1111111111111111,,,9,1,cc-hybla_aqm-droptail_bw-2000_buf-20_1777404768_tcp.csv
hybla,hybla,0.5555555555555556,21.830111511464573,1.0,9,5,cc-hybla_aqm-droptail_bw-2000_buf-20_1777404963_tcp.csv
hybla,cubic,0.1111111111111111,,,9,1,cc-hybla_aqm-droptail_bw-2000_buf-20_1777453076_tcp.csv
hybla,hybla,0.5555555555555556,28.138850460823615,1.0,9,5,cc-hybla_aqm-droptail_bw-2000_buf-20_1777453270_tcp.csv
illinois,htcp,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777350170_tcp.csv
illinois,bic,0.1111111111111111,,,9,1,cc-illinois_aqm-droptail_bw-2000_buf-20_1777350356_tcp.csv
illinois,htcp,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777354991_tcp.csv
illinois,westwood,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777355170_tcp.csv
illinois,veno,0.1111111111111111,,,9,1,cc-illinois_aqm-droptail_bw-2000_buf-20_1777360721_tcp.csv
illinois,westwood,0.2222222222222222,,,9,2,cc-illinois_aqm-droptail_bw-2000_buf-20_1777360906_tcp.csv
illinois,scalable,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777366050_tcp.csv
illinois,westwood,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777366230_tcp.csv
illinois,scalable,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777372271_tcp.csv
illinois,westwood,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777372469_tcp.csv
illinois,scalable,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777405165_tcp.csv
illinois,westwood,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777405354_tcp.csv
illinois,scalable,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777453460_tcp.csv
illinois,westwood,0.0,,,9,0,cc-illinois_aqm-droptail_bw-2000_buf-20_1777453650_tcp.csv
reno,cubic,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777347366_tcp.csv
reno,westwood,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777347550_tcp.csv
reno,htcp,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777352363_tcp.csv
reno,westwood,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777352532_tcp.csv
reno,htcp,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777358601_tcp.csv
reno,westwood,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777358784_tcp.csv
reno,cubic,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777363881_tcp.csv
reno,westwood,0.0,,,10,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777364078_tcp.csv
reno,cubic,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777369805_tcp.csv
reno,westwood,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777370013_tcp.csv
reno,htcp,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777402820_tcp.csv
reno,westwood,0.0,,,10,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777403004_tcp.csv
reno,htcp,0.0,,,9,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777451175_tcp.csv
reno,westwood,0.0,,,10,0,cc-reno_aqm-droptail_bw-2000_buf-20_1777451371_tcp.csv
scalable,veno,0.0,,,9,0,cc-scalable_aqm-droptail_bw-2000_buf-20_1777350525_tcp.csv
scalable,veno,0.1111111111111111,,,9,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777350705_tcp.csv
scalable,veno,0.09090909090909091,,,11,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777355353_tcp.csv
scalable,veno,0.2222222222222222,,,9,2,cc-scalable_aqm-droptail_bw-2000_buf-20_1777355534_tcp.csv
scalable,veno,0.0,,,9,0,cc-scalable_aqm-droptail_bw-2000_buf-20_1777361294_tcp.csv
scalable,veno,0.2222222222222222,,,9,2,cc-scalable_aqm-droptail_bw-2000_buf-20_1777361480_tcp.csv
scalable,veno,0.1111111111111111,,,9,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777366410_tcp.csv
scalable,veno,0.1111111111111111,,,9,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777366590_tcp.csv
scalable,veno,0.1111111111111111,,,9,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777372667_tcp.csv
scalable,veno,0.1,,,10,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777372867_tcp.csv
scalable,veno,0.0,,,9,0,cc-scalable_aqm-droptail_bw-2000_buf-20_1777405539_tcp.csv
scalable,veno,0.1,,,10,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777405730_tcp.csv
scalable,veno,0.0,,,9,0,cc-scalable_aqm-droptail_bw-2000_buf-20_1777453846_tcp.csv
scalable,veno,0.1,,,10,1,cc-scalable_aqm-droptail_bw-2000_buf-20_1777454057_tcp.csv
vegas,vegas,0.7777777777777778,21.830083285773313,1.0,9,7,cc-vegas_aqm-droptail_bw-2000_buf-20_1777350876_tcp.csv
vegas,westwood,0.3333333333333333,37.06320540126512,1.0,9,3,cc-vegas_aqm-droptail_bw-2000_buf-20_1777351051_tcp.csv
vegas,cubic,0.2222222222222222,,,9,2,cc-vegas_aqm-droptail_bw-2000_buf-20_1777355709_tcp.csv
vegas,vegas,0.5555555555555556,30.894719633703602,1.0,9,5,cc-vegas_aqm-droptail_bw-2000_buf-20_1777355887_tcp.csv
vegas,htcp,0.1111111111111111,,,9,1,cc-vegas_aqm-droptail_bw-2000_buf-20_1777361661_tcp.csv
vegas,vegas,0.4,40.08192524559956,1.0,10,4,cc-vegas_aqm-droptail_bw-2000_buf-20_1777361845_tcp.csv
vegas,vegas,0.7777777777777778,21.811643421958948,1.0,9,7,cc-vegas_aqm-droptail_bw-2000_buf-20_1777366769_tcp.csv
vegas,vegas,0.8888888888888888,25.110535982118293,1.0,9,8,cc-vegas_aqm-droptail_bw-2000_buf-20_1777366953_tcp.csv
vegas,vegas,1.0,21.806622670432624,1.0,9,9,cc-vegas_aqm-droptail_bw-2000_buf-20_1777373064_tcp.csv
vegas,vegas,0.6666666666666666,27.924743140302613,1.0,9,6,cc-vegas_aqm-droptail_bw-2000_buf-20_1777373263_tcp.csv
vegas,vegas,0.7777777777777778,33.80796116340589,1.0,9,7,cc-vegas_aqm-droptail_bw-2000_buf-20_1777405912_tcp.csv
vegas,htcp,0.2222222222222222,,,9,2,cc-vegas_aqm-droptail_bw-2000_buf-20_1777406100_tcp.csv
vegas,cubic,0.1111111111111111,,,9,1,cc-vegas_aqm-droptail_bw-2000_buf-20_1777454274_tcp.csv
vegas,vegas,0.4444444444444444,25.308464518085543,1.0,9,4,cc-vegas_aqm-droptail_bw-2000_buf-20_1777454460_tcp.csv
veno,yeah,0.2222222222222222,,,9,2,cc-veno_aqm-droptail_bw-2000_buf-20_1777351223_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777351393_tcp.csv
veno,westwood,0.1111111111111111,,,9,1,cc-veno_aqm-droptail_bw-2000_buf-20_1777356055_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777356229_tcp.csv
veno,westwood,0.1111111111111111,,,9,1,cc-veno_aqm-droptail_bw-2000_buf-20_1777362033_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777362489_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777362669_tcp.csv
veno,westwood,0.1111111111111111,,,9,1,cc-veno_aqm-droptail_bw-2000_buf-20_1777367141_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777367323_tcp.csv
veno,westwood,0.1111111111111111,,,9,1,cc-veno_aqm-droptail_bw-2000_buf-20_1777373463_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777373662_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777406278_tcp.csv
veno,vegas,0.0,,,10,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777406459_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777454655_tcp.csv
veno,westwood,0.0,,,9,0,cc-veno_aqm-droptail_bw-2000_buf-20_1777454859_tcp.csv
westwood,veno,0.0,,,10,0,cc-westwood_aqm-droptail_bw-2000_buf-20_1777351573_tcp.csv
westwood,westwood,0.6363636363636364,41.185118863722565,1.0,11,7,cc-westwood_aqm-droptail_bw-2000_buf-20_1777351758_tcp.csv
westwood,cubic,0.0,,,10,0,cc-westwood_aqm-droptail_bw-2000_buf-20_1777356405_tcp.csv
westwood,westwood,0.7272727272727273,38.19271351781602,1.0,11,8,cc-westwood_aqm-droptail_bw-2000_buf-20_1777356584_tcp.csv
westwood,veno,0.1,,,10,1,cc-westwood_aqm-droptail_bw-2000_buf-20_1777362859_tcp.csv
westwood,westwood,0.5454545454545454,41.21390486196153,1.0,11,6,cc-westwood_aqm-droptail_bw-2000_buf-20_1777363063_tcp.csv
westwood,veno,0.0,,,10,0,cc-westwood_aqm-droptail_bw-2000_buf-20_1777367505_tcp.csv
westwood,westwood,0.6363636363636364,41.06750835,1.0,11,7,cc-westwood_aqm-droptail_bw-2000_buf-20_1777367698_tcp.csv
westwood,veno,0.0,,,10,0,cc-westwood_aqm-droptail_bw-2000_buf-20_1777373874_tcp.csv
westwood,westwood,0.6666666666666666,41.2752285256167,1.0,12,8,cc-westwood_aqm-droptail_bw-2000_buf-20_1777374115_tcp.csv
westwood,veno,0.0,,,10,0,cc-westwood_aqm-droptail_bw-2000_buf-20_1777406650_tcp.csv
westwood,westwood,0.6363636363636364,41.04890975,1.0,11,7,cc-westwood_aqm-droptail_bw-2000_buf-20_1777406843_tcp.csv
westwood,cubic,0.0,,,10,0,cc-westwood_aqm-droptail_bw-2000_buf-20_1777455106_tcp.csv
westwood,westwood,0.6363636363636364,41.092683,1.0,11,7,cc-westwood_aqm-droptail_bw-2000_buf-20_1777455373_tcp.csv
yeah,cubic,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777351932_tcp.csv
yeah,hybla,0.2222222222222222,,,9,2,cc-yeah_aqm-droptail_bw-2000_buf-20_1777352108_tcp.csv
yeah,cubic,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777356760_tcp.csv
yeah,hybla,0.1111111111111111,,,9,1,cc-yeah_aqm-droptail_bw-2000_buf-20_1777356943_tcp.csv
yeah,cubic,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777363244_tcp.csv
yeah,scalable,0.2222222222222222,,,9,2,cc-yeah_aqm-droptail_bw-2000_buf-20_1777363424_tcp.csv
yeah,htcp,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777367878_tcp.csv
yeah,hybla,0.2222222222222222,,,9,2,cc-yeah_aqm-droptail_bw-2000_buf-20_1777368058_tcp.csv
yeah,cubic,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777374309_tcp.csv
yeah,hybla,0.2222222222222222,,,9,2,cc-yeah_aqm-droptail_bw-2000_buf-20_1777374502_tcp.csv
yeah,cubic,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777407036_tcp.csv
yeah,hybla,0.2222222222222222,,,9,2,cc-yeah_aqm-droptail_bw-2000_buf-20_1777407218_tcp.csv
yeah,cubic,0.0,,,9,0,cc-yeah_aqm-droptail_bw-2000_buf-20_1777455588_tcp.csv
yeah,hybla,0.2222222222222222,,,9,2,cc-yeah_aqm-droptail_bw-2000_buf-20_1777455755_tcp.csv
